21;FC Baník Ostrava;FK Teplice
21;SK Sigma Olomouc;FK Mladá Boleslav
21;1. FC Slovácko;SK Slavia Praha
21;AC Sparta Praha;FC Viktoria Plzeò
22;SK Dynamo Èeské Budìjovice;FC Viktoria Plzeò
22;FK Jablonec;AC Sparta Praha
22;FK Mladá Boleslav;FC Slovan Liberec
22;FC Baník Ostrava;SK Sigma Olomouc
22;FK Pardubice;FC Hradec Králové
22;SK Slavia Praha;Bohemians Praha 1905
22;FK Teplice;MFD OKD Karviná
22;Fastav Zlín;1. FC Slovácko
23;Bohemians Praha 1905;FC Baník Ostrava
23;FC Hradec Králové;SK Slavia Praha
23;MFD OKD Karviná;SK Dynamo Èeské Budìjovice
23;FC Slovan Liberec;FK Jablonec
23;FC Viktoria Plzeò;FK Pardubice
23;SK Sigma Olomouc;FK Teplice
23;1. FC Slovácko;FK Mladá Boleslav
23;AC Sparta Praha;Fastav Zlín
24;FK Jablonec;FC Hradec Králové
24;FK Mladá Boleslav;MFD OKD Karviná
24;FC Baník Ostrava;FC Slovan Liberec
24;FK Pardubice;SK Dynamo Èeské Budìjovice
24;SK Sigma Olomouc;Bohemians Praha 1905
24;SK Slavia Praha;AC Sparta Praha
24;FK Teplice;1. FC Slovácko
24;Fastav Zlín;FC Viktoria Plzeò
25;Bohemians Praha 1905;FK Mladá Boleslav
25;SK Dynamo Èeské Budìjovice;FK Jablonec
25;FC Hradec Králové;Fastav Zlín
25;MFD OKD Karviná;SK Sigma Olomouc
25;FC Slovan Liberec;SK Slavia Praha
25;FC Viktoria Plzeò;FK Teplice
25;1. FC Slovácko;FC Baník Ostrava
25;AC Sparta Praha;FK Pardubice
26;Bohemians Praha 1905;1. FC Slovácko
26;FK Jablonec;FC Viktoria Plzeò
26;FK Mladá Boleslav;AC Sparta Praha
26;FC Baník Ostrava;MFD OKD Karviná
26;SK Sigma Olomouc;FC Slovan Liberec
26;SK Slavia Praha;SK Dynamo Èeské Budìjovice
26;FK Teplice;FC Hradec Králové
26;Fastav Zlín;FK Pardubice
27;SK Dynamo Èeské Budìjovice;Fastav Zlín
27;FC Hradec Králové;FK Mladá Boleslav
27;MFD OKD Karviná;Bohemians Praha 1905
27;FC Slovan Liberec;FK Teplice
27;FK Pardubice;FK Jablonec
27;FC Viktoria Plzeò;SK Slavia Praha
27;1. FC Slovácko;SK Sigma Olomouc
27;AC Sparta Praha;FC Baník Ostrava
28;Bohemians Praha 1905;FC Slovan Liberec
28;FK Jablonec;Fastav Zlín
